Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-31,13.27,13.41,12.85,12.93,9468900.0,0.0,1.0,12.11942574026,12.247287051762,11.735841805752,11.808905412325,9468900.0
2010-02-28,13.12,13.29,12.94,12.99,7146900.0,0.0,1.0,11.982431477936,12.137691641903,11.818038363147,11.863703117255,7146900.0
2010-03-31,14.02,14.2,13.9,13.94,6581400.0,0.0,1.0,12.848733606768,13.013695949794,12.738758711418,12.775417009868,6581400.0
2010-04-30,16.49,16.61,16.14,16.21,9630200.0,0.0,1.0,15.112383536063,15.222358431414,14.791623424625,14.855775446912,9630200.0
2010-05-31,14.89,14.94,14.47,14.56,8752500.0,0.0,1.0,13.646051598058,13.691874471121,13.261139464332,13.343620635845,8752500.0
2010-06-30,13.15,13.44,12.86,12.93,11447000.0,0.0,1.0,12.096687650097,12.36345870854,11.829916591653,11.89430960576,11447000.0
2010-07-31,14.36,14.87,14.14,14.78,7216800.0,0.0,1.0,13.209766893946,13.678915996725,13.00738884961,13.596124978588,7216800.0
2010-08-31,13.56,13.89,13.46,13.82,11298400.0,0.0,1.0,12.473846732723,12.777413799227,12.38185671257,12.713020785121,11298400.0
2010-09-30,15.99,16.23,15.69,15.86,9914900.0,0.0,1.0,14.758530863022,14.980047273724,14.481635349644,14.638542807225,9914900.0
2010-10-31,16.82,17.09,16.8,16.93,6945500.0,0.0,1.0,15.524608450033,15.773814412073,15.506148749141,15.626136804938,6945500.0
2010-11-30,16.17,17.15,16.15,16.84,14898400.0,0.0,1.0,14.924668171048,15.829193514748,14.906208470156,15.543068150925,14898400.0
2010-12-31,19.04,19.22,18.96,19.05,2632000.0,0.0,1.0,17.622505202444,17.789104516333,17.548461062938,17.631760719883,2632000.0
2011-01-31,19.52,19.93,19.3,19.83,13888000.0,0.0,1.0,18.066770039481,18.446246254449,17.863148655839,18.353691080067,13888000.0
2011-02-28,23.52,24.02,23.39,23.86,15089500.0,0.0,1.0,21.768977014784,22.231752886697,21.648655288087,22.083664607685,15089500.0
2011-03-31,25.98,25.99,24.98,25.04,14802200.0,0.0,1.0,24.09588808125,24.105162864961,23.168409710147,23.224058412413,14802200.0
2011-04-30,25.24,25.34,25.0,25.22,6300000.0,0.0,1.0,23.409554086634,23.502301923744,23.186959277569,23.391004519212,6300000.0
2011-05-31,28.15,28.34,27.66,27.95,9081800.0,0.0,1.0,26.108516146543,26.284737037052,25.654051744702,25.923020472322,9081800.0
2011-06-30,28.54,29.13,28.45,28.49,10356500.0,0.0,1.0,26.57053673822,27.119822536242,26.486747379199,26.52398709432,10356500.0
2011-07-31,27.55,27.98,27.1,27.37,11903800.0,0.0,1.0,25.648853788996,26.049180726538,25.229906993895,25.481275070956,11903800.0
2011-08-31,25.29,25.71,24.71,25.05,9850800.0,0.0,1.0,23.544809884708,23.93582689347,23.004834015466,23.321371593988,9850800.0
2011-09-30,20.53,20.97,20.07,20.38,8732700.0,0.0,1.0,19.19406689524,19.605435109264,18.764000126034,19.053827731369,8732700.0
2011-10-31,25.38,26.2,25.29,25.81,10146900.0,0.0,1.0,23.728466527092,24.495107289591,23.644323028769,24.130485463524,10146900.0
2011-11-30,25.57,26.05,25.47,26.04,11340000.0,0.0,1.0,23.906102801329,24.354868125719,23.812610025415,24.345518848127,11340000.0
2011-12-31,27.27,27.72,27.14,27.14,4222300.0,0.0,1.0,25.59190767717,26.014216384714,25.469907383879,25.469907383879,4222300.0
2012-01-31,29.04,29.36,28.39,28.48,5523600.0,0.0,1.0,27.25298859351,27.553297007763,26.642987127057,26.727448868566,5523600.0
2012-02-29,30.13,30.32,29.81,29.9,10969000.0,0.0,1.0,28.275914129561,28.454222250524,27.975605715307,28.060067456816,10969000.0
2012-03-31,32.98,33.94,32.96,33.91,15510600.0,0.0,1.0,31.051880200536,31.955755427719,31.033049466636,31.92750932687,15510600.0
2012-04-30,33.92,33.99,33.27,33.38,7761700.0,0.0,1.0,31.93692469382,32.002832262469,31.324925842081,31.428494878529,7761700.0
2012-05-31,31.51,32.26,30.97,31.92,7276700.0,0.0,1.0,29.667821258911,30.373973780148,29.15939144362,30.053851303854,7276700.0
2012-06-30,32.5,32.78,32.1301,32.78,6953200.0,0.0,1.0,30.696350723639,30.960811591412,30.346979027249,30.960811591412,6953200.0
2012-07-31,33.33,33.84,32.88,33.46,7727800.0,0.0,1.0,31.480288295966,31.961984876552,31.055261901331,31.60307369886,7727800.0
2012-08-31,36.23,36.43,35.89,36.34,3729100.0,0.0,1.0,34.219347283613,34.408247903451,33.898216229889,34.323242624524,3729100.0
2012-09-30,35.78,36.35,35.69,36.33,9620300.0,0.0,1.0,33.904789930294,34.444916544611,33.819506780665,34.425964733582,9620300.0
2012-10-31,33.01,33.01,31.84,32.4,6407600.0,0.0,1.0,31.279964102823,31.279964102823,30.171283157645,30.701933866448,6407600.0
