Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-31,48.65,48.87,47.78,48.0,22175000.0,0.0,1.0,27.750660889367,27.876152058857,27.254400355477,27.379891524967,22175000.0
2010-02-28,48.38,48.5299,47.95,48.0,10411100.0,0.0,1.0,27.878996544041,27.965376485792,27.631208852558,27.660021374823,10411100.0
2010-03-31,51.21,51.43,50.9727,51.17,16079800.0,0.0,1.0,29.509785304264,29.636560402232,29.373041073593,29.486735286452,16079800.0
2010-04-30,59.29,59.45,57.81,59.19,19471900.0,0.0,1.0,34.16588890236,34.258088973609,33.313038243303,34.108263857829,19471900.0
2010-05-31,52.46,52.58,51.58,51.86,15567600.0,0.0,1.0,30.556557306483,30.626454120756,30.043980668478,30.207073235116,15567600.0
2010-06-30,49.72,50.29,48.97,49.09,19329600.0,0.0,1.0,28.960580047242,29.29258991504,28.523724958034,28.593621772307,19329600.0
2010-07-31,54.1,55.77,53.89,55.22,15913200.0,0.0,1.0,31.829473181204,32.812009599182,31.705920697506,32.488419760926,15913200.0
2010-08-31,52.26,52.81,52.0,52.43,11265200.0,0.0,1.0,30.746918085947,31.070507924203,30.593948344226,30.846936763226,11265200.0
2010-09-30,57.89,57.99,56.88,57.43,12823600.0,0.0,1.0,34.05930133937,34.118135855416,33.465072727299,33.788662565555,12823600.0
2010-10-31,59.38,59.53,58.8,59.3875,11147800.0,0.0,1.0,35.255755278857,35.344814950326,34.911391215844,35.260208262431,11147800.0
2010-11-30,60.11,60.92,60.02,60.17,11452100.0,0.0,1.0,35.68917901334,36.170101239272,35.635743210458,35.724802881927,11452100.0
2010-12-31,67.93,68.58,67.83,68.1,6363800.0,0.0,1.0,40.33215655259,40.718081795622,40.272783438277,40.433090846921,6363800.0
2011-01-31,71.29,71.74,70.5,71.46,20863700.0,0.0,1.0,42.327093193495,42.594272207902,41.858045590425,42.428027487827,20863700.0
2011-02-28,77.28,78.3399,77.1,77.87,10513200.0,0.0,1.0,46.284537685328,46.919332994498,46.176732085129,46.637900485979,10513200.0
2011-03-31,80.82,81.8,79.83,79.86,11034500.0,0.0,1.0,48.404714489236,48.991656090318,47.811783688143,47.829751288176,11034500.0
2011-04-30,77.47,79.0,77.42,78.89,12122200.0,0.0,1.0,46.398332485537,47.314680087227,46.368386485482,47.248798887105,12122200.0
2011-05-31,73.85,74.11,72.7136,73.22,15173600.0,0.0,1.0,44.63178210594,44.7889149881,43.944990539451,44.25103704532,15173600.0
2011-06-30,74.35,75.27,74.33,75.19,9932800.0,0.0,1.0,44.933960725479,45.489969385431,44.921873580697,45.441620806305,9932800.0
2011-07-31,72.02,72.695,71.45,71.99,13237500.0,0.0,1.0,43.904742978088,44.31623563999,43.557260285815,43.886454415337,13237500.0
2011-08-31,68.3,68.75,67.55,68.07,11838200.0,0.0,1.0,41.636961196937,41.911289638205,41.179747128157,41.496748882511,11838200.0
2011-09-30,62.98,64.64,62.98,63.32,13489200.0,0.0,1.0,38.393789402388,39.405756541289,38.393789402388,38.601059780235,13489200.0
2011-10-31,70.67,70.89,69.65,69.65,13541700.0,0.0,1.0,43.505891903266,43.641328385772,42.877959120737,42.877959120737,13541700.0
2011-11-30,70.03,71.37,70.01,71.32,15364800.0,0.0,1.0,43.111894863248,43.936826165786,43.099582455747,43.906045147035,15364800.0
2011-12-31,72.92,73.2,72.71,72.87,6077300.0,0.0,1.0,44.89103774708,45.063411452088,44.761757468324,44.860256728329,6077300.0
2012-01-31,69.01,69.17,68.0,68.21,28422400.0,0.0,1.0,42.483962080719,42.582461340723,41.86218550194,41.991465780696,28422400.0
2012-02-29,77.33,77.72,76.06,76.55,15948400.0,0.0,1.0,48.037634367329,48.279903569492,47.248706452594,47.553095963003,15948400.0
2012-03-31,76.16,76.57,75.84,76.01,9034800.0,0.0,1.0,47.31082676084,47.565520024653,47.11204177445,47.21764629847,9034800.0
2012-04-30,71.95,72.3,71.405,71.63,9670200.0,0.0,1.0,44.695561783646,44.91298286251,44.3570061037,44.496776797256,9670200.0
2012-05-31,52.19,52.64,51.34,52.16,12155900.0,0.0,1.0,42.732009823595,43.100459802913,42.036048751549,42.70744649164,12155900.0
2012-06-30,55.68,55.88,55.25,55.88,8550500.0,0.0,1.0,45.58954410764,45.753299654004,45.237469682958,45.753299654004,8550500.0
2012-07-31,54.85,55.1,54.16,54.44,8958000.0,0.0,1.0,45.435780351266,45.642871419412,44.864209003183,45.096150999507,8958000.0
2012-08-31,56.57,57.13,56.536,56.79,11848700.0,0.0,1.0,46.860566900112,47.324450892759,46.832402514844,47.04280704008,11848700.0
2012-09-30,57.17,57.32,56.83,57.18,5013500.0,0.0,1.0,47.357585463663,47.48184010455,47.075941610984,47.365869106388,5013500.0
2012-10-31,57.61,57.92,57.5,57.85,6167800.0,0.0,1.0,48.278247332701,48.538033076029,48.186065294745,48.479371779148,6167800.0
2012-11-30,57.13,57.2,56.75,56.94,7627100.0,0.0,1.0,47.875998439805,47.934659736686,47.557551399597,47.716774919701,7627100.0
2012-12-31,56.98,58.02,56.84,57.99,6877700.0,0.0,1.0,47.750295660776,48.621834928715,47.632973067014,48.596694372909,6877700.0
