Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-31,17.88,18.43,16.12,17.23,879800.0,0.0,1.0,8.94,9.215,8.06,8.615,1759600.0
2010-02-28,16.81,17.3,16.5,17.18,210900.0,0.0,1.0,8.405,8.65,8.25,8.59,421800.0
2010-03-31,17.63,17.9,17.52,17.58,212200.0,0.0,1.0,8.815,8.95,8.76,8.79,424400.0
2010-04-30,17.91,19.21,17.54,17.78,712600.0,0.0,1.0,8.955,9.605,8.77,8.89,1425200.0
2010-05-31,16.12,16.4,15.97,16.32,898400.0,0.0,1.0,8.06,8.2,7.985,8.16,1796800.0
2010-06-30,17.0,17.36,16.35,16.44,975000.0,0.0,1.0,8.5,8.68,8.175,8.22,1950000.0
2010-07-31,17.56,18.01,17.56,18.01,452500.0,0.0,1.0,8.78,9.005,8.78,9.005,905000.0
2010-08-31,20.05,20.42,19.68,20.38,2227900.0,0.0,1.0,10.025,10.21,9.84,10.19,4455800.0
2010-09-30,25.4,25.59,24.87,25.0,800000.0,0.0,1.0,12.7,12.795,12.435,12.5,1600000.0
2010-10-31,30.05,30.29,29.6,30.0,494200.0,0.0,1.0,15.025,15.145,14.8,15.0,988400.0
2010-11-30,31.3,32.09,31.1425,31.87,1012900.0,0.0,1.0,15.65,16.045,15.57125,15.935,2025800.0
2010-12-31,32.25,32.5,31.81,32.35,188900.0,0.0,1.0,16.125,16.25,15.905,16.175,377800.0
2011-01-31,36.41,38.84,36.3,38.45,1292600.0,0.0,1.0,18.205,19.42,18.15,19.225,2585200.0
2011-02-28,41.96,41.96,40.23,40.84,625100.0,0.0,1.0,20.98,20.98,20.115,20.42,1250200.0
2011-03-31,43.15,44.35,42.9,44.15,974500.0,0.0,1.0,21.575,22.175,21.45,22.075,1949000.0
2011-04-30,47.77,49.0,47.74,48.7,1300000.0,0.0,1.0,23.885,24.5,23.87,24.35,2600000.0
2011-05-31,48.49,48.84,47.25,48.49,826400.0,0.0,1.0,24.245,24.42,23.625,24.245,1652800.0
2011-06-30,26.91,27.34,26.72,27.29,2207400.0,0.0,1.0,26.91,27.34,26.72,27.29,2207400.0
2011-07-31,19.58,20.73,18.9,20.32,3726200.0,0.0,1.0,19.58,20.73,18.9,20.32,3726200.0
2011-08-31,18.95,19.46,18.93,19.13,2516000.0,0.0,1.0,18.95,19.46,18.93,19.13,2516000.0
2011-09-30,16.58,17.35,16.36,16.8,3038500.0,0.0,1.0,16.58,17.35,16.36,16.8,3038500.0
2011-10-31,22.92,23.32,22.3,23.06,3189800.0,0.0,1.0,22.92,23.32,22.3,23.06,3189800.0
2011-11-30,23.85,24.18,23.68,23.99,1297100.0,0.0,1.0,23.85,24.18,23.68,23.99,1297100.0
2011-12-31,21.74,21.86,21.55,21.81,1041100.0,0.0,1.0,21.74,21.86,21.55,21.81,1041100.0
2012-01-31,22.67,23.13,22.11,22.81,3796800.0,0.0,1.0,22.67,23.13,22.11,22.81,3796800.0
2012-02-29,27.35,27.47,26.81,27.05,1505700.0,0.0,1.0,27.35,27.47,26.81,27.05,1505700.0
2012-03-31,27.48,28.1,27.155,27.65,2077400.0,0.0,1.0,27.48,28.1,27.155,27.65,2077400.0
2012-04-30,26.2,26.2,25.64,26.12,1650600.0,0.0,1.0,26.2,26.2,25.64,26.12,1650600.0
2012-05-31,21.63,21.63,20.87,21.25,4647200.0,0.0,1.0,21.63,21.63,20.87,21.25,4647200.0
2012-06-30,22.37,23.3,22.37,23.22,1969400.0,0.0,1.0,22.37,23.3,22.37,23.22,1969400.0
2012-07-31,24.64,24.91,23.9699,24.01,2690600.0,0.0,1.0,24.64,24.91,23.9699,24.01,2690600.0
2012-08-31,26.31,26.58,26.04,26.51,1595000.0,0.0,1.0,26.31,26.58,26.04,26.51,1595000.0
2012-09-30,24.64,24.82,23.91,24.12,4962000.0,0.0,1.0,24.64,24.82,23.91,24.12,4962000.0
2012-10-31,19.52,19.78,19.17,19.37,2922400.0,0.0,1.0,19.52,19.78,19.17,19.37,2922400.0
2012-11-30,19.96,20.06,19.66,19.98,2035300.0,0.0,1.0,19.96,20.06,19.66,19.98,2035300.0
2012-12-31,20.91,21.17,20.79,21.02,1882300.0,0.0,1.0,20.91,21.17,20.79,21.02,1882300.0
2013-01-31,23.28,24.24,22.6,23.59,14834800.0,0.0,1.0,23.28,24.24,22.6,23.59,14834800.0
2013-02-28,24.76,25.13,24.09,24.175,3550100.0,0.0,1.0,24.76,25.13,24.09,24.175,3550100.0
2013-03-31,23.17,23.74,22.85,23.68,1883200.0,0.0,1.0,23.17,23.74,22.85,23.68,1883200.0
2013-04-30,17.69,18.12,17.385,17.96,4158500.0,0.0,1.0,17.69,18.12,17.385,17.96,4158500.0
2013-05-31,19.03,19.4801,18.9,19.26,2435800.0,0.0,1.0,19.03,19.4801,18.9,19.26,2435800.0
2013-06-30,17.3,17.67,16.529,17.5,4474900.0,0.0,1.0,17.3,17.67,16.529,17.5,4474900.0
2013-07-31,21.3,21.68,20.95,21.25,8218900.0,0.0,1.0,21.3,21.68,20.95,21.25,8218900.0
2013-08-31,20.12,20.2599,19.705,19.8,1118100.0,0.0,1.0,20.12,20.2599,19.705,19.8,1118100.0
2013-09-30,20.15,20.35,19.92,20.26,1466400.0,0.0,1.0,20.15,20.35,19.92,20.26,1466400.0
2013-10-31,19.93,20.22,19.64,20.13,1779900.0,0.0,1.0,19.93,20.22,19.64,20.13,1779900.0
2013-11-30,17.84,17.92,16.9,17.1,13047700.0,0.0,1.0,17.84,17.92,16.9,17.1,13047700.0
2013-12-31,18.91,19.21,18.85,19.13,2409400.0,0.0,1.0,18.91,19.21,18.85,19.13,2409400.0
2014-01-31,21.69,21.86,21.01,21.2,4480100.0,0.0,1.0,21.69,21.86,21.01,21.2,4480100.0
2014-02-28,23.91,23.91,22.85,23.15,2407700.0,0.0,1.0,23.91,23.91,22.85,23.15,2407700.0
2014-03-31,21.96,22.23,21.88,22.03,1137500.0,0.0,1.0,21.96,22.23,21.88,22.03,1137500.0
2014-04-30,21.59,22.04,21.37,21.98,1403400.0,0.0,1.0,21.59,22.04,21.37,21.98,1403400.0
2014-05-31,22.63,22.74,22.26,22.47,1944200.0,0.0,1.0,22.63,22.74,22.26,22.47,1944200.0
2014-06-30,24.66,25.13,24.66,25.13,1734900.0,0.0,1.0,24.66,25.13,24.66,25.13,1734900.0
2014-07-31,25.23,25.31,24.54,24.55,1344800.0,0.0,1.0,25.23,25.31,24.54,24.55,1344800.0
2014-08-31,25.45,25.81,25.35,25.81,948600.0,0.0,1.0,25.45,25.81,25.35,25.81,948600.0
2014-09-30,25.51,25.7,25.26,25.265,1344673.0,0.0,1.0,25.51,25.7,25.26,25.265,1344673.0
2014-10-31,26.13,26.3,25.79,26.05,1870384.0,0.0,1.0,26.13,26.3,25.79,26.05,1870384.0
2014-11-30,27.5,27.7,27.38,27.56,362413.0,0.0,1.0,27.5,27.7,27.38,27.56,362413.0
2014-12-31,31.14,31.32,30.65,30.66,1137424.0,0.0,1.0,31.14,31.32,30.65,30.66,1137424.0
2015-01-31,28.92,30.22,28.88,29.895,4828105.0,0.0,1.0,28.92,30.22,28.88,29.895,4828105.0
2015-02-28,34.0,34.1,33.51,33.61,1308609.0,0.0,1.0,34.0,34.1,33.51,33.61,1308609.0
2015-03-31,35.09,35.49,34.81,34.95,1479702.0,0.0,1.0,35.09,35.49,34.81,34.95,1479702.0
2015-04-30,38.35,38.659,37.58,37.74,1456010.0,0.0,1.0,38.35,38.659,37.58,37.74,1456010.0
2015-05-31,40.24,40.38,39.6,40.06,1228435.0,0.0,1.0,40.24,40.38,39.6,40.06,1228435.0
2015-06-30,40.98,41.43,40.761,41.33,1470028.0,0.0,1.0,40.98,41.43,40.761,41.33,1470028.0
2015-07-31,47.55,48.59,47.299,47.74,1459799.0,0.0,1.0,47.55,48.59,47.299,47.74,1459799.0
2015-08-31,42.81,43.255,41.86,42.14,1265261.0,0.0,1.0,42.81,43.255,41.86,42.14,1265261.0
2015-09-30,42.67,43.14,41.65,42.48,1998424.0,0.0,1.0,42.67,43.14,41.65,42.48,1998424.0
2015-10-31,34.11,34.62,34.08,34.36,1620119.0,0.0,1.0,34.11,34.62,34.08,34.36,1620119.0
2015-11-30,36.72,37.26,36.01,36.02,8448056.0,0.0,1.0,36.72,37.26,36.01,36.02,8448056.0
2015-12-31,31.4,31.65,31.14,31.17,1581618.0,0.0,1.0,31.4,31.65,31.14,31.17,1581618.0
2016-01-31,30.0,30.03,27.51,28.14,5979341.0,0.0,1.0,30.0,30.03,27.51,28.14,5979341.0
2016-02-29,28.3,29.2,28.21,28.4,2464449.0,0.0,1.0,28.3,29.2,28.21,28.4,2464449.0
2016-03-31,29.9,31.0,29.8,30.63,3375995.0,0.0,1.0,29.9,31.0,29.8,30.63,3375995.0
2016-04-30,32.36,32.65,31.31,32.51,2036270.0,0.0,1.0,32.36,32.65,31.31,32.51,2036270.0
2016-05-31,34.05,34.325,33.85,34.21,2095247.0,0.0,1.0,34.05,34.325,33.85,34.21,2095247.0
2016-06-30,31.24,31.64,30.78,31.59,1689866.0,0.0,1.0,31.24,31.64,30.78,31.59,1689866.0
2016-07-31,33.75,34.7,32.94,34.69,7027491.0,0.0,1.0,33.75,34.7,32.94,34.69,7027491.0
2016-08-31,35.9,36.24,35.59,36.14,1134007.0,0.0,1.0,35.9,36.24,35.59,36.14,1134007.0
