Date,Price
2010-01-31,"1,123.58"
2010-02-28,"1,089.16"
2010-03-31,"1,152.05"
2010-04-30,"1,197.32"
2010-05-31,"1,125.06"
2010-06-30,"1,083.36"
2010-07-31,"1,079.80"
2010-08-31,"1,087.28"
2010-09-30,"1,122.08"
2010-10-31,"1,171.58"
2010-11-30,"1,198.89"
2010-12-31,"1,241.53"
2011-01-31,"1,282.62"
2011-02-28,"1,321.12"
2011-03-31,"1,304.49"
2011-04-30,"1,331.51"
2011-05-31,"1,338.31"
2011-06-30,"1,287.29"
2011-07-31,"1,325.19"
2011-08-31,"1,185.31"
2011-09-30,"1,173.88"
2011-10-31,"1,207.22"
2011-11-30,"1,226.42"
2011-12-31,"1,243.32"
2012-01-31,"1,300.58"
2012-02-29,"1,352.49"
2012-03-31,"1,389.24"
2012-04-30,"1,386.43"
2012-05-31,"1,341.27"
2012-06-30,"1,323.48"
2012-07-31,"1,359.78"
2012-08-31,"1,403.45"
2012-09-30,"1,443.42"
2012-10-31,"1,437.82"
2012-11-30,"1,394.51"
2012-12-31,"1,422.29"
2013-01-31,"1,480.40"
2013-02-28,"1,512.31"
2013-03-31,"1,550.83"
2013-04-30,"1,570.70"
2013-05-31,"1,639.84"
2013-06-30,"1,618.77"
2013-07-31,"1,668.68"
2013-08-31,"1,670.09"
2013-09-30,"1,687.17"
2013-10-31,"1,720.03"
2013-11-30,"1,783.54"
2013-12-31,"1,807.78"
2014-01-31,"1,822.36"
2014-02-28,"1,817.04"
2014-03-31,"1,863.52"
2014-04-30,"1,864.26"
2014-05-31,"1,889.77"
2014-06-30,"1,947.09"
2014-07-31,"1,973.10"
2014-08-31,"1,961.53"
2014-09-30,"1,993.23"
2014-10-31,"1,937.27"
2014-11-30,"2,044.57"
2014-12-31,"2,054.27"
2015-01-31,"2,028.18"
2015-02-28,"2,082.20"
2015-03-31,"2,079.99"
2015-04-30,"2,094.86"
2015-05-31,"2,111.94"
2015-06-30,"2,099.29"
2015-07-31,"2,094.14"
2015-08-31,"2,039.87"
2015-09-30,"1,944.41"
2015-10-31,"2,024.81"
2015-11-30,"2,080.62"
2015-12-31,"2,054.08"
2016-01-31,"1,918.60"
2016-02-29,"1,904.42"
2016-03-31,"2,021.95"
2016-04-30,"2,075.54"
2016-05-31,"2,065.55"
2016-06-30,"2,083.89"
2016-07-31,"2,148.90"
2016-08-31,"2,170.95"
2016-09-30,"2,157.69"
2016-10-31,"2,143.02"
2016-11-30,"2,164.99"
2016-12-31,"2,246.63"
2017-01-31,"2,275.12"
2017-02-28,"2,329.91"
2017-03-31,"2,366.82"
2017-04-30,"2,359.31"
2017-05-31,"2,395.35"
2017-06-30,"2,433.99"
2017-07-31,"2,454.10"
2017-08-31,"2,456.22"
2017-09-30,"2,492.84"
2017-10-31,"2,557.00"
2017-11-30,"2,593.61"
2017-12-31,"2,664.34"
2018-01-31,"2,789.80"
2018-02-28,"2,705.16"
2018-03-31,"2,702.77"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
