Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-10-31,16.5,17.03,16.5,17.03,36400.0,0.0,1.0,16.5,17.03,16.5,17.03,36400.0
2012-11-30,18.44,18.48,17.77,18.0,44200.0,0.0,1.0,18.44,18.48,17.77,18.0,44200.0
2012-12-31,18.74,19.22,18.57,19.12,125600.0,0.0,1.0,18.74,19.22,18.57,19.12,125600.0
2013-01-31,22.5308,22.5308,21.55,22.42,260400.0,0.0,1.0,22.5308,22.5308,21.55,22.42,260400.0
2013-02-28,20.98,23.31,20.2,22.71,205000.0,0.0,1.0,20.98,23.31,20.2,22.71,205000.0
2013-03-31,26.24,27.21,26.04,26.84,157500.0,0.0,1.0,26.24,27.21,26.04,26.84,157500.0
2013-04-30,26.46,26.739,26.13,26.26,171600.0,0.0,1.0,26.46,26.739,26.13,26.26,171600.0
2013-05-31,34.63,35.23,33.67,33.77,596800.0,0.0,1.0,34.63,35.23,33.67,33.77,596800.0
2013-06-30,33.15,33.68,32.61,33.32,902100.0,0.0,1.0,33.15,33.68,32.61,33.32,902100.0
2013-07-31,37.96,39.3,37.3,38.18,149800.0,0.0,1.0,37.96,39.3,37.3,38.18,149800.0
2013-08-31,40.5,41.01,39.42,40.24,397100.0,0.0,1.0,40.5,41.01,39.42,40.24,397100.0
2013-09-30,42.47,43.18,42.04,42.64,307800.0,0.0,1.0,42.47,43.18,42.04,42.64,307800.0
2013-10-31,53.5,53.5,49.51,51.65,1503800.0,0.0,1.0,53.5,53.5,49.51,51.65,1503800.0
2013-11-30,49.63,50.56,48.64,49.74,356800.0,0.0,1.0,49.63,50.56,48.64,49.74,356800.0
2013-12-31,51.85,53.75,51.56,52.882,611000.0,0.0,1.0,51.85,53.75,51.56,52.882,611000.0
2014-01-31,50.67,53.32,50.1,51.98,827100.0,0.0,1.0,50.67,53.32,50.1,51.98,827100.0
2014-02-28,64.14,64.71,63.68,64.33,1029700.0,0.0,1.0,64.14,64.71,63.68,64.33,1029700.0
2014-03-31,70.36,70.989,67.0,67.31,1576600.0,0.0,1.0,70.36,70.989,67.0,67.31,1576600.0
