Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-12-31,30.57,30.98,30.34,30.92,18500.0,0.0,1.0,30.57,30.98,30.34,30.92,18500.0
2011-01-31,29.95,30.31,29.72,30.0,63500.0,0.0,1.0,29.95,30.31,29.72,30.0,63500.0
2011-02-28,32.15,32.32,31.681,31.99,160800.0,0.0,1.0,32.15,32.32,31.681,31.99,160800.0
2011-03-31,32.39,33.01,31.52,32.66,713600.0,0.0,1.0,32.39,33.01,31.52,32.66,713600.0
2011-04-30,36.69,37.999,36.69,37.51,50000.0,0.0,1.0,36.69,37.999,36.69,37.51,50000.0
2011-05-31,33.77,34.03,32.87,33.74,916100.0,0.0,1.0,33.77,34.03,32.87,33.74,916100.0
2011-06-30,29.52,29.71,29.3,29.64,64200.0,0.0,1.0,29.52,29.71,29.3,29.64,64200.0
2011-07-31,29.26,29.86,29.26,29.64,56200.0,0.0,1.0,29.26,29.86,29.26,29.64,56200.0
2011-08-31,28.11,28.49,27.86,28.41,663900.0,0.0,1.0,28.11,28.49,27.86,28.41,663900.0
2011-09-30,25.92,26.6,25.62,26.26,117000.0,0.0,1.0,25.92,26.6,25.62,26.26,117000.0
2011-10-31,27.93,28.32,27.86,27.96,69900.0,0.0,1.0,27.93,28.32,27.86,27.96,69900.0
2011-11-30,28.0,28.5,27.62,28.4,252800.0,0.0,1.0,28.0,28.5,27.62,28.4,252800.0
2011-12-31,29.5,29.93,29.49,29.87,527500.0,0.0,1.0,29.5,29.93,29.49,29.87,527500.0
2012-01-31,33.96,34.2,33.7,33.99,98200.0,0.0,1.0,33.96,34.2,33.7,33.99,98200.0
2012-02-29,37.04,37.25,36.96,37.03,194300.0,0.0,1.0,37.04,37.25,36.96,37.03,194300.0
2012-03-31,39.64,39.74,38.74,38.77,193000.0,0.0,1.0,39.64,39.74,38.74,38.77,193000.0
2012-04-30,39.95,40.0,39.29,39.55,143000.0,0.0,1.0,39.95,40.0,39.29,39.55,143000.0
2012-05-31,38.34,38.34,37.61,37.9,216500.0,0.0,1.0,38.34,38.34,37.61,37.9,216500.0
2012-06-30,34.5,35.04,34.26,35.04,531800.0,0.0,1.0,34.5,35.04,34.26,35.04,531800.0
2012-07-31,36.83,37.24,36.69,36.92,437800.0,0.0,1.0,36.83,37.24,36.69,36.92,437800.0
2012-08-31,43.23,43.3499,42.66,43.18,213500.0,0.0,1.0,43.23,43.3499,42.66,43.18,213500.0
2012-09-30,44.18,44.87,43.82,44.8,295300.0,0.0,1.0,44.18,44.87,43.82,44.8,295300.0
2012-10-31,46.97,47.55,46.41,47.41,326600.0,0.0,1.0,46.97,47.55,46.41,47.41,326600.0
2012-11-30,51.41,52.24,50.61,52.19,1525600.0,0.0,1.0,51.41,52.24,50.61,52.19,1525600.0
2012-12-31,52.65,53.67,52.61,53.65,387700.0,0.0,1.0,52.65,53.67,52.61,53.65,387700.0
2013-01-31,59.87,60.0,59.27,59.84,259700.0,0.0,1.0,59.87,60.0,59.27,59.84,259700.0
2013-02-28,68.37,70.68,68.302,69.81,870700.0,0.0,1.0,68.37,70.68,68.302,69.81,870700.0
2013-03-31,76.11,76.73,75.41,76.67,530500.0,0.0,1.0,76.11,76.73,75.41,76.67,530500.0
2013-04-30,75.08,77.14,75.01,76.9,1187000.0,0.0,1.0,75.08,77.14,75.01,76.9,1187000.0
2013-05-31,87.33,88.8,86.15,87.08,925600.0,0.0,1.0,87.33,88.8,86.15,87.08,925600.0
2013-06-30,82.88,83.18,81.18,81.3,1512800.0,0.0,1.0,82.88,83.18,81.18,81.3,1512800.0
2013-07-31,89.59,91.62,89.59,89.77,1016200.0,0.0,1.0,89.59,91.62,89.59,89.77,1016200.0
2013-08-31,105.12,106.18,102.13,103.11,325200.0,0.0,1.0,105.12,106.18,102.13,103.11,325200.0
2013-09-30,110.0,111.2619,109.0,110.16,522300.0,0.0,1.0,110.0,111.2619,109.0,110.16,522300.0
2013-10-31,117.0,120.51,112.0,115.35,1793300.0,0.0,1.0,117.0,120.51,112.0,115.35,1793300.0
2013-11-30,120.99,122.788,120.56,121.78,245900.0,0.0,1.0,120.99,122.788,120.56,121.78,245900.0
2013-12-31,114.25,117.26,114.17,117.17,461300.0,0.0,1.0,114.25,117.26,114.17,117.17,461300.0
2014-01-31,108.53,108.765,106.21,106.32,1104000.0,0.0,1.0,108.53,108.765,106.21,106.32,1104000.0
2014-02-28,131.01,131.35,128.83,129.93,943200.0,0.0,1.0,131.01,131.35,128.83,129.93,943200.0
2014-03-31,113.96,115.11,113.41,115.1,630600.0,0.0,1.0,113.96,115.11,113.41,115.1,630600.0
2014-04-30,111.93,114.13,110.58,114.13,834500.0,0.0,1.0,111.93,114.13,110.58,114.13,834500.0
2014-05-31,127.57,127.68,125.77,126.41,748600.0,0.0,1.0,127.57,127.68,125.77,126.41,748600.0
2014-06-30,133.59,133.8,131.565,131.8,474500.0,0.0,1.0,133.59,133.8,131.565,131.8,474500.0
2014-07-31,135.35,136.02,132.31,132.79,814600.0,0.0,1.0,135.35,136.02,132.31,132.79,814600.0
2014-08-31,143.55,144.44,142.38,143.69,489800.0,0.0,1.0,143.55,144.44,142.38,143.69,489800.0
2014-09-30,142.67,142.92,141.24,142.12,911416.0,0.0,1.0,142.67,142.92,141.24,142.12,911416.0
2014-10-31,144.84,153.52,144.84,150.56,2188590.0,0.0,1.0,144.84,153.52,144.84,150.56,2188590.0
2014-11-30,155.47,156.381,151.5,151.89,461662.0,0.0,1.0,155.47,156.381,151.5,151.89,461662.0
2014-12-31,149.5,150.37,148.59,148.71,654283.0,0.0,1.0,149.5,150.37,148.59,148.71,654283.0
2015-01-31,140.61,141.97,140.01,140.5,943708.0,0.0,1.0,140.61,141.97,140.01,140.5,943708.0
2015-02-28,155.59,155.76,152.89,153.43,830000.0,0.0,1.0,155.59,155.76,152.89,153.43,830000.0
2015-03-31,149.77,151.55,148.93,150.92,827133.0,0.0,1.0,149.77,151.55,148.93,150.92,827133.0
2015-04-30,163.15,163.5,160.38,160.89,761145.0,0.0,1.0,163.15,163.5,160.38,160.89,761145.0
